"Evol.Strain","Temperature","Well.Replicate","Growth.rate"
"L1-4",20,"1",0.724000483925543
"L1-4",20,"2",0.674509439890924
"L1-4",20,"3",0.607996112192582
"L1-4",20,"4",0.897743864457908
"L1-4",25,"1",0.789229634760126
"L1-4",25,"2",1.02688582275816
"L1-4",25,"3",0.975903435086849
"L1-4",25,"4",0.943450066023489
"L1-4",29,"1",0.872471329470235
"L1-4",29,"2",0.91184943656247
"L1-4",29,"3",0.859942312343482
"L1-4",29,"4",0.897134760851995
"L1-4",31,"1",1.10697362582569
"L1-4",31,"2",1.20207891766249
"L1-4",31,"3",1.0587130012326
"L1-4",31,"4",0.997922256080098
"L1-4",32,"1",0.732454792591539
"L1-4",32,"2",0.737143022479245
"L1-4",32,"3",0.613837119781434
"L1-4",32,"4",0.752050275868314
"L1-1",12,"1",0.162829171772209
"L1-1",12,"2",0.182037269659247
"L1-1",12,"3",0.173568706603193
"L1-1",12,"4",0.256132996751152
"L1-1",20,"1",0.470055734070433
"L1-1",20,"2",0.707676813977947
"L1-1",20,"3",0.860883230767326
"L1-1",20,"4",0.930708828838339
"L1-1",25,"1",0.839392166719294
"L1-1",25,"2",0.922084891802195
"L1-1",25,"3",0.910069097995768
"L1-1",25,"4",0.89521692399538
"L1-1",29,"1",0.991166037750854
"L1-1",29,"2",0.940323902565772
"L1-1",29,"3",0.620693383225604
"L1-1",29,"4",0.840413903011081
"L1-1",31,"1",1.2205191828398
"L1-1",31,"2",1.09319203506403
"L1-1",31,"3",1.21314130365423
"L1-1",31,"4",1.08615025863816
"L1-1",32,"1",0.894980961774254
"L1-1",32,"2",0.963284416321944
"L1-1",32,"3",0.908899951751655
"L1-1",32,"4",0.98087454571528
"5-1",34,"1",-0.172090956042379
"5-1",34,"2",-0.152108322094547
"5-1",34,"3",-0.169209798653556
"5-1",34,"4",-0.255275118066651
"5-2",34,"1",-0.33600157927084
"5-2",34,"2",-0.359777913265211
"5-2",34,"3",-0.313931101895248
"5-2",34,"4",-0.353040735070366
"5-3",34,"1",-0.161896339823943
"5-3",34,"2",-0.333439406779117
"5-3",34,"3",-0.288286868919059
"5-3",34,"4",-0.156078573836981
"5-4",34,"1",-0.358611873234624
"5-4",34,"2",-0.281099410604732
"5-4",34,"3",-0.447674622061294
"5-4",34,"4",-0.363836058998615
"Collection",34,"1",0.0315137202442271
"Collection",34,"2",-0.027285743095609
"Collection",34,"3",0.102729974882085
"Collection",34,"4",-0.0238406543897777
"L1-1",34,"1",-0.267437270536245
"L1-1",34,"2",-0.294152129320001
"L1-1",34,"3",-0.2426466412138
"L1-1",34,"4",-0.203836514894039
"L1-2",34,"1",-0.157600086789358
"L1-2",34,"2",-0.245452834269636
"L1-2",34,"3",-0.172812159209079
"L1-2",34,"4",-0.221052729998714
"L1-3",34,"1",0.155984270163637
"L1-3",34,"2",0.205869056286966
"L1-3",34,"3",0.0688708115093612
"L1-3",34,"4",0.114135144861588
"L1-4",34,"1",-0.313907191819121
"L1-4",34,"2",-0.31849268837626
"L1-4",34,"3",-0.338178506553845
"L1-4",34,"4",-0.381880074807762
