id,sample,period,temp,nitrate,rep,model,Var2,r,K,s,NA,tiempo en dias desde el inicio del exp,,,numero de GR,
31 5 1 60,31 5 1,57,31,5,1,mexp.22,Estimate,2.596217205,NA,-19.97197113,NA,171,,,,
31 5 1 61,31 5 1,58,31,5,1,mexp.22,Estimate,0.714616392,NA,-5.520928602,NA,174,,,,
31 5 1 62,31 5 1,59,31,5,1,mexp.22,Estimate,0.866911572,NA,-13.58817792,NA,177,,,,
31 5 1 63,31 5 1,60,31,5,1,mexp.22,Estimate,0.430972432,NA,-7.156158424,NA,180,,,,
31 5 1 64,31 5 1,61,31,5,1,mexp.22,Estimate,0.343631064,NA,-18.37830716,NA,183,,,,
31 5 1 65,31 5 1,62,31,5,1,mexp.22,Estimate,0.232605007,NA,-15.93275933,NA,186,,,,
31 5 1 66,31 5 1,63,31,5,1,mexp.22,Estimate,0.319020773,NA,-18.85565221,NA,189,,,,
31 5 1 67,31 5 1,64,31,5,1,mexp.22,Estimate,0.417648248,NA,-5.300345857,NA,192,,,,
31 5 1 68,31 5 1,65,31,5,1,mexp.22,Estimate,0.872189268,NA,-6.502273799,NA,195,,,,
31 5 1 69,31 5 1,66,31,5,1,mexp.22,Estimate,0.487558242,NA,-4.714470965,NA,198,,,,
31 5 1 7,31 5 1,67,31,5,1,mexp.22,Estimate,0.251899881,NA,-4.165954028,NA,201,,,,
31 5 1 70,31 5 1,68,31,5,1,mexp.22,Estimate,1.916939947,NA,-5.691883022,NA,204,,,,
31 5 1 71,31 5 1,69,31,5,1,mexp.22,Estimate,0.524821997,NA,-4.669240864,NA,207,,,,
31 5 1 72,31 5 1,70,31,5,1,mexp.22,Estimate,0.597943973,NA,-6.651271227,NA,210,,,,
31 5 1 73,31 5 1,71,31,5,1,mexp.22,Estimate,0.697652652,NA,-5.067013292,NA,213,,,,
31 5 1 74,31 5 1,72,31,5,1,mexp.22,Estimate,0.588032811,NA,-5.195302173,NA,216,,,,
31 5 1 75,31 5 1,73,31,5,1,mexp.22,Estimate,0.331755661,NA,-6.220378804,NA,219,,,,
31 5 1 76,31 5 1,74,31,5,1,mexp.22,Estimate,0.519422626,NA,-5.933312488,NA,222,,,,
31 5 1 77,31 5 1,75,31,5,1,mexp.22,Estimate,0.509919087,NA,-16.65778548,NA,225,,,,
31 5 1 78,31 5 1,76,31,5,1,mexp.22,Estimate,0.752063106,NA,-6.506118701,NA,228,,,,
31 5 1 79,31 5 1,77,31,5,1,mexp.22,Estimate,0.690893872,NA,-5.966354699,NA,231,,,,
31 5 1 8,31 5 1,78,31,5,1,mexp.22,Estimate,0.758514422,NA,-8.203051054,NA,234,,,,
31 5 1 80,31 5 1,79,31,5,1,mexp.22,Estimate,0.668745911,NA,-5.964533089,NA,237,,,,
31 5 1 81,31 5 1,80,31,5,1,mexp.22,Estimate,0.991025103,NA,-5.581719978,NA,240,,,,
31 5 1 82,31 5 1,81,31,5,1,mexp.22,Estimate,0.975775239,NA,-5.381151988,NA,243,,,,
31 5 1 83,31 5 1,82,31,5,1,mexp.22,Estimate,1.345470512,NA,-5.468048783,NA,246,,,,
31 5 1 84,31 5 1,83,31,5,1,mexp.22,Estimate,0.301883832,NA,-5.072421174,NA,249,,,,
31 5 1 9,31 5 1,84,31,5,1,mexp.22,Estimate,0.789775236,NA,-6.845439172,NA,252,,,,
31 5 2 1,31 5 2,1,31,5,2,mexp.22,Estimate,0.940400911,NA,-5.049372247,NA,3,,,,
31 5 2 10,31 5 2,2,31,5,2,mexp.22,Estimate,0.841602937,NA,-5.947407662,NA,6,,,,
31 5 2 11,31 5 2,3,31,5,2,mexp.22,Estimate,0.985787282,NA,-5.262495132,NA,9,,,,
31 5 2 12,31 5 2,4,31,5,2,mexp.22,Estimate,0.838911139,NA,-15.84542488,NA,12,,,,
31 5 2 14,31 5 2,5,31,5,2,mexp.22,Estimate,0.717172552,NA,-4.299657268,NA,15,,,,
31 5 2 15,31 5 2,6,31,5,2,mexp.22,Estimate,0.721499205,NA,-4.526853684,NA,18,,,,
31 5 2 16,31 5 2,7,31,5,2,mexp.22,Estimate,0.965755808,NA,-6.55445445,NA,21,,,,
31 5 2 17,31 5 2,8,31,5,2,mexp.22,Estimate,0.969294217,NA,-5.521456746,NA,24,,,,
31 5 2 18,31 5 2,9,31,5,2,mexp.22,Estimate,0.811372269,NA,-4.410802317,NA,27,,,,
31 5 2 19,31 5 2,10,31,5,2,mexp.22,Estimate,0.831948231,NA,-5.648919273,NA,30,,,,
31 5 2 2,31 5 2,11,31,5,2,mexp.22,Estimate,1.148200688,NA,-5.824250809,NA,33,,,,
31 5 2 20,31 5 2,12,31,5,2,mexp.22,Estimate,0.938236988,NA,-5.764536996,NA,36,,,,
31 5 2 21,31 5 2,14,31,5,2,mexp.22,Estimate,0.916816866,NA,-4.53560274,NA,42,,,,
31 5 2 22,31 5 2,15,31,5,2,mexp.22,Estimate,3.00936935,NA,-20.16656891,NA,45,,,,
31 5 2 23,31 5 2,16,31,5,2,mexp.22,Estimate,0.551618454,NA,-4.254637317,NA,48,,,,
31 5 2 24,31 5 2,17,31,5,2,mexp.22,Estimate,0.756715501,NA,-4.787872299,NA,51,,,,
31 5 2 25,31 5 2,18,31,5,2,mexp.22,Estimate,0.932628,NA,-16.94162089,NA,54,,,,
31 5 2 26,31 5 2,19,31,5,2,mexp.22,Estimate,0.946686952,NA,-9.961835129,NA,57,,,,
31 5 2 27,31 5 2,20,31,5,2,mexp.22,Estimate,0.771074675,NA,-5.110766485,NA,60,,,,
31 5 2 28,31 5 2,21,31,5,2,mexp.22,Estimate,0.667652438,NA,-4.761815534,NA,63,,,,
31 5 2 29,31 5 2,22,31,5,2,mexp.22,Estimate,0.737351806,NA,-19.11025624,NA,66,,,,
31 5 2 3,31 5 2,23,31,5,2,mexp.22,Estimate,0.70584361,NA,-5.348409479,NA,69,,,,
31 5 2 30,31 5 2,24,31,5,2,mexp.22,Estimate,0.606031481,NA,-5.184878524,NA,72,,,,
31 5 2 31,31 5 2,25,31,5,2,mexp.22,Estimate,0.540559086,NA,-16.53945212,NA,75,,,,
31 5 2 32,31 5 2,26,31,5,2,mexp.22,Estimate,1.022106997,NA,-5.619842535,NA,78,,,,
31 5 2 33,31 5 2,27,31,5,2,mexp.22,Estimate,0.5465878,NA,-18.40819067,NA,81,,,,
31 5 2 34,31 5 2,28,31,5,2,mexp.22,Estimate,0.504755911,NA,-4.555294797,NA,84,,,,
31 5 2 36,31 5 2,30,31,5,2,mexp.22,Estimate,0.468035241,NA,-17.12685114,NA,90,,,,
31 5 2 37,31 5 2,31,31,5,2,mexp.22,Estimate,0.484699975,NA,-5.10131217,NA,93,,,,
31 5 2 38,31 5 2,32,31,5,2,mexp.22,Estimate,0.419881176,NA,-16.94450504,NA,96,,,,
31 5 2 39,31 5 2,33,31,5,2,mexp.22,Estimate,0.30229095,NA,-4.219145561,NA,99,,,,
31 5 2 4,31 5 2,34,31,5,2,mexp.22,Estimate,0.516202481,NA,-18.76144104,NA,102,,,,
31 5 2 40,31 5 2,35,31,5,2,mexp.22,Estimate,0.40139634,NA,-4.860639248,NA,105,,,,
31 5 2 41,31 5 2,36,31,5,2,mexp.22,Estimate,0.105491449,NA,-18.05727711,NA,108,,,,
31 5 2 42,31 5 2,37,31,5,2,mexp.22,Estimate,0.367479733,NA,-5.027338773,NA,111,,,,
31 5 2 43,31 5 2,38,31,5,2,mexp.22,Estimate,0.245005099,NA,-22.68499131,NA,114,,,,
31 5 2 44,31 5 2,39,31,5,2,mexp.22,Estimate,0.417049212,NA,-16.55566294,NA,117,,,,
31 5 2 45,31 5 2,40,31,5,2,mexp.22,Estimate,0.233591041,NA,-4.132927715,NA,120,,,,
31 5 2 46,31 5 2,41,31,5,2,mexp.22,Estimate,0.77291867,NA,-5.481236918,NA,123,,,,
31 5 2 47,31 5 2,42,31,5,2,mexp.22,Estimate,0.417585326,NA,-5.033071064,NA,126,,,,
31 5 2 48,31 5 2,43,31,5,2,mexp.22,Estimate,0.506426439,NA,-4.969571899,NA,129,,,,
31 5 2 49,31 5 2,44,31,5,2,mexp.22,Estimate,0.539157289,NA,-4.297558036,NA,132,,,,
31 5 2 5,31 5 2,45,31,5,2,mexp.22,Estimate,0.452134399,NA,-5.641299104,NA,135,,,,
31 5 2 50,31 5 2,46,31,5,2,mexp.22,Estimate,0.64735435,NA,-6.211005192,NA,138,,,,
31 5 2 51,31 5 2,47,31,5,2,mexp.22,Estimate,0.561095791,NA,-5.781303817,NA,141,,,,
31 5 2 52,31 5 2,48,31,5,2,mexp.22,Estimate,0.535686726,NA,-5.481367041,NA,144,,,,
31 5 2 53,31 5 2,49,31,5,2,mexp.22,Estimate,0.408205243,NA,-5.452098872,NA,147,,,,
31 5 2 54,31 5 2,50,31,5,2,mexp.22,Estimate,0.452117679,NA,-6.397836849,NA,150,,,,
31 5 2 55,31 5 2,51,31,5,2,mexp.22,Estimate,0.580426011,NA,-5.505701202,NA,153,,,,
31 5 2 56,31 5 2,52,31,5,2,mexp.22,Estimate,0.527726727,NA,-6.08725715,NA,156,,,,
31 5 2 57,31 5 2,53,31,5,2,mexp.22,Estimate,0.567569768,NA,-5.074579486,NA,159,,,,
31 5 2 58,31 5 2,54,31,5,2,mexp.22,Estimate,0.346487611,NA,-5.013284112,NA,162,,,,
31 5 2 59,31 5 2,55,31,5,2,mexp.22,Estimate,0.517360065,NA,-16.64399544,NA,165,,,,
31 5 2 6,31 5 2,56,31,5,2,mexp.22,Estimate,0.345232473,NA,-5.59306606,NA,168,,,,
31 5 2 60,31 5 2,57,31,5,2,mexp.22,Estimate,2.777087625,NA,-19.31359689,NA,171,,,,
31 5 2 61,31 5 2,58,31,5,2,mexp.22,Estimate,0.425940966,NA,-4.95276884,NA,174,,,,
31 5 2 62,31 5 2,59,31,5,2,mexp.22,Estimate,0.785768166,NA,-17.26426442,NA,177,,,,
31 5 2 63,31 5 2,60,31,5,2,mexp.22,Estimate,0.485069379,NA,-6.920680122,NA,180,,,,
