sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_07/04/2016 9:30:00_Collection_34_L1;04/07/2016 09:30;Collection;34;L1;2;0.062;;
Chsim_07/04/2016 9:30:00_L1-1_34_L1;04/07/2016 09:30;L1-1;34;L1;2;0.06;;
Chsim_07/04/2016 9:30:00_L1-3_34_L1;04/07/2016 09:30;L1-3;34;L1;2;0.054;;
Chsim_07/04/2016 9:30:00_L1-4_34_L1;04/07/2016 09:30;L1-4;34;L1;2;0.023;;
Chsim_07/04/2016 9:30:00_5-1_34_L1;04/07/2016 09:30;5-1;34;L1;2;0.012;;
Chsim_07/04/2016 9:30:00_5-2_34_L1;04/07/2016 09:30;5-2;34;L1;2;0.062;;
Chsim_07/04/2016 9:30:00_5-3_34_L1;04/07/2016 09:30;5-3;34;L1;2;0.05;;
Chsim_07/04/2016 9:30:00_5-4_34_L1;04/07/2016 09:30;5-4;34;L1;2;0.1;;
Chsim_08/04/2016 8:30:00_Collection_34_L1;04/08/2016 08:30;Collection;34;L1;1;0.046;;
Chsim_08/04/2016 8:30:00_L1-1_34_L1;04/08/2016 08:30;L1-1;34;L1;1;0.062;;
Chsim_08/04/2016 8:30:00_L1-3_34_L1;04/08/2016 08:30;L1-3;34;L1;1;0.103;;
Chsim_08/04/2016 8:30:00_L1-4_34_L1;04/08/2016 08:30;L1-4;34;L1;1;0.035;;
Chsim_08/04/2016 8:30:00_5-1_34_L1;04/08/2016 08:30;5-1;34;L1;1;0.053;;
Chsim_08/04/2016 8:30:00_5-2_34_L1;04/08/2016 08:30;5-2;34;L1;1;0.019;;
Chsim_08/04/2016 8:30:00_5-3_34_L1;04/08/2016 08:30;5-3;34;L1;1;0.021;;
Chsim_08/04/2016 8:30:00_5-4_34_L1;04/08/2016 08:30;5-4;34;L1;1;0.065;;
Chsim_08/04/2016 8:30:00_Collection_34_L1;04/08/2016 08:30;Collection;34;L1;2;0.062;;
Chsim_08/04/2016 8:30:00_L1-1_34_L1;04/08/2016 08:30;L1-1;34;L1;2;0.087;;
Chsim_08/04/2016 8:30:00_L1-3_34_L1;04/08/2016 08:30;L1-3;34;L1;2;0.08;;
Chsim_08/04/2016 8:30:00_L1-4_34_L1;04/08/2016 08:30;L1-4;34;L1;2;0.022;;
Chsim_08/04/2016 8:30:00_5-1_34_L1;04/08/2016 08:30;5-1;34;L1;2;0.011;;
Chsim_08/04/2016 8:30:00_5-2_34_L1;04/08/2016 08:30;5-2;34;L1;2;0.059;;
